COD_PAI4,COD_SAL,POSAR,FOBDOL,FOBPES
BOL,BOG,3004501000,5328,21316543
BOL,BOG,3004902900,6446,26074194
BOL,BOG,3304300000,12519,50364635
BOL,BOG,7117190000,607,2428294
BOL,BOG,6103330000,46,182374
BOL,BOG,6104230000,556,2221683
BOL,BOG,6104330000,94,376746
BOL,BOG,6104430000,19,77669
BOL,BOG,6104530000,148,591516
BOL,BOG,6104630000,72,287799
BOL,BOG,6106200000,401,1603092
BOL,BOG,6109909000,482,1927365
BOL,BOG,6203429000,52,207970
BOL,BOG,6204620000,180,719697
BOL,BOG,6204630000,16,64791
BOL,BOG,6206300000,36,141980
BOL,BOG,6211420000,535,2141055
BOL,BOG,4911990000,364,1464448
BOL,BOG,3923309900,3180,12719067
BOL,BOG,3004491000,11580,46124638
BOL,BOG,4901999000,14072,56051046
BOL,BOG,6103330000,258,1045285
BOL,BOG,6104230000,648,2621141
BOL,BOG,6104330000,100,406464
BOL,BOG,6104430000,418,1691792
BOL,BOG,6104530000,108,438745
BOL,BOG,6104630000,322,1302399
BOL,BOG,6105209000,55,221921
BOL,BOG,6106200000,480,1942515
BOL,BOG,6107110000,34,138468
BOL,BOG,6107120000,73,293845
BOL,BOG,6108220000,236,954025
BOL,BOG,6108320000,29,116502
BOL,BOG,6109909000,1349,5457366
BOL,BOG,6110309000,848,3430063
BOL,BOG,6114300000,792,3204097
BOL,BOG,6203429000,94,378633
BOL,BOG,6204420000,458,1853641
BOL,BOG,6204430000,22,90532
BOL,BOG,6204620000,635,2567906
BOL,BOG,6205300000,24,96276
BOL,BOG,6206400000,170,689467
BOL,BOG,6212200000,270,1091198
BOL,BOG,7117190000,1591,6434772
BOL,BOG,9402109000,4638,18473372
BOL,BOG,8479899000,1848,7361372
BOL,BOG,4816900000,1434,5479291
BOL,BOG,4821100000,651,2488155
BOL,BOG,4821900000,25,96316
BOL,BOG,6203110000,3339,12926772
BOL,BOG,6203120000,11784,45619231
BOL,BOG,6205200000,1755,6794395
BOL,BOG,4901999000,4014,15987209
BOL,BOG,6108210000,411,1638269
BOL,BOG,6108220000,1536,6127350
BOL,BOG,6115101000,8520,32986612
BOL,BOG,6212100000,5365,21404295
BOL,BOG,6212900000,87,336352
BOL,BOG,9021101000,124,480834
BOL,BOG,9027109000,15185,58789014
BOL,BOG,4202220010,2140,8449165
BOL,BOG,3303000000,10161,40184315
BOL,BOG,3304100000,2285,9025853
BOL,BOG,3304200000,188,742543
BOL,BOG,3304990000,4455,17593784
BOL,BOG,3305100000,347,1373482
BOL,BOG,3307200000,1029,4070007
BOL,BOG,3303000000,490,1946827
BOL,BOG,3304100000,5673,22447405
BOL,BOG,3304200000,485,1920136
BOL,BOG,3304910000,569,2250130
BOL,BOG,3304990000,33354,131960191
BOL,BOG,3305100000,362,1428108
BOL,BOG,3305900000,45,177171
BOL,BOG,7117190000,1418,5608945
BOL,BOG,3304100000,15668,61993408
BOL,BOG,3304200000,13540,53574689
BOL,BOG,3304300000,95,373177
BOL,BOG,3304910000,27,107545
BOL,BOG,3304990000,361,1428232
BOL,BOG,7117190000,116867,462415225
BOL,BOG,2101200000,7057,27632286
BOL,BOG,3004902900,1120,4431571
BOL,BOG,3302109000,5276,20848567
BOL,BOG,3304100000,6095,24115186
BOL,BOG,3304100000,36,143016
BOL,BOG,3304200000,2440,9653307
BOL,BOG,3304200000,1522,6014571
BOL,BOG,3304910000,36,142345
BOL,BOG,3304990000,278,1095917
BOL,BOG,3305900000,2073,8025709
BOL,BOG,3307200000,405,1600106
BOL,BOG,3302109000,3851,14718715
BOL,BOG,8443321900,2450,9910789
BOL,BOG,8471300000,15638,63259150
BOL,BOG,8528520000,2163,8749811
BOL,BOG,4901999000,9358,37276190
BOL,BOG,2106907900,41661,159230425
BOL,BOG,6212200000,6133,24181814
BOL,BOG,6212900000,2867,11305456
BOL,BOG,4016930000,178,703634
BOL,BOG,8422900000,7077,27905691
BOL,BOG,8487902000,432,1702127
BOL,BOG,8501511090,2410,9502190
BOL,BOG,8533210000,2272,8958564
BOL,BOG,8533393000,341,1342838
BOL,BOG,2710191500,521853,2047628551
BOL,BOG,6212200000,2748,10759602
BOL,BOG,6212300000,354,1386062
BOL,BOG,6212900000,8712,34111226
BOL,BUN,3303000000,92531,366032996
BOL,BUN,3304100000,8972,35481176
BOL,BUN,3304200000,19356,76320382
BOL,BUN,3304910000,390,1543335
BOL,BUN,3304990000,20564,81260218
BOL,BUN,3305100000,200,787864
BOL,BUN,3305900000,1600,6265510
BOL,BUN,3307200000,886,3489929
BOL,BUN,3303000000,12018,47329465
BOL,BUN,3304100000,1029,4034470
BOL,BUN,3304910000,470,1880198
BOL,BUN,3304990000,22325,88024948
BOL,BUN,3305100000,1887,7416984
BOL,BUN,3305900000,8612,33804060
BOL,BUN,3307200000,5180,20656637
BOL,BUN,3304300000,572,2283440
BOL,BUN,3304910000,264,1035240
BOL,BUN,3304200000,336,1323534
BOL,BUN,3304910000,86,339626
BOL,BUN,3304990000,158,631746
BOL,BUN,9603309000,59,234280
BRA,BOG,3921120000,1142,4483229
BRA,BOG,3923309900,7858,30894755
BRA,BOG,2907299000,63418,252563181
BRA,BOG,603110000,14824,59638053
BRA,BOG,603193000,963,3874351
BRA,BOG,603110000,7646,29221483
BRA,BOG,602109000,1460,5813407
BRA,BOG,603110000,1272,5054709
BRA,BOG,603193000,3168,12643108
BRA,BOG,810905000,23762,92508140
BRA,BOG,1207101000,158400,621841968
BRA,BOG,3923292000,4327,16942849
BRA,BOG,2938909000,1992,7932264
BRA,BOG,810901010,8248,32626516
BRA,BOG,810903000,213,843394
BRA,BOG,810904000,10311,40790661
BRA,BOG,810905000,10851,42926045
BRA,BOG,9805000000,1500,5965793
BRA,BOG,5804210000,9598,38229039
BRA,BOG,602909000,40853,164360198
BRA,BOG,3215110000,24628,95346071
BRA,BOG,3215190000,87128,337311696
BRA,BOG,3304300000,2510,9650166
BRA,BOG,3808949900,3120,12345091
BRA,BOG,9403600000,37503,149990623
BRA,BOG,5804210000,5963,23545420
BRA,BOG,8807900000,160,638328
BRA,BOG,602909000,20541,81804254
BRA,BOG,3403990000,33,130900
BRA,BOG,3910009000,2592,10363058
BRA,BOG,3917399000,1546,6115790
BRA,BOG,3920911000,417,1646541
BRA,BOG,4016930000,1359,5377188
BRA,BOG,7326909000,1249,4996058
BRA,BOG,8307900000,385,1522935
