COD_PAI4;COD_SAL;POSAR;FOBDOL;FOBPES
ABW;BOG;709590000;239;950047
ABW;BOG;709999000;23;89599
ABW;BOG;910999000;357;1417756
ABW;BOG;1211903000;40;160395
ABW;BOG;1211909000;5150;20470243
ABW;BOG;702000000;61;244055
ABW;BOG;703100090;57;225027
ABW;BOG;705190000;183;728701
ABW;BOG;2710191500;466202;1869878521
BIH;BOG;603129000;136;552947
BIH;BOG;603129000;60;242158
BIH;BOG;603129000;115;466753
BIH;BOG;603110000;11157;44350079
BIH;BOG;603121000;1404;5581026
AIA;BOG;2710191500;1730;6885285
ATG;BOG;4202121020;366;1465051
ATG;BOG;4202210000;5255;21044908
ATG;BOG;4202310000;4580;18344456
ATG;BOG;4202911000;426;1707597
ATG;BOG;4202919000;279;1117412
ATG;BOG;4203300000;2058;8241212
ATG;BOG;4202111000;880;3523572
ATG;BOG;4202210000;4927;19734132
ATG;BOG;4202310000;2353;9425268
ATG;BOG;4202911000;2831;11337324
ATG;BOG;4202919000;1394;5581692
ATG;BOG;4202920020;115;460181
SAU;BOG;603199010;3372;13801301
SAU;BOG;603199010;900;3654135
SAU;BOG;603192000;576;2329638
SAU;BOG;603199010;20228;82469404
SAU;BOG;604200000;4409;17882806
SAU;BOG;804200000;485;1921539
SAU;BOG;810901010;272;1077536
SAU;BOG;810901020;183;725333
SAU;BOG;810901030;222;878961
SAU;BOG;810903000;250;989902
SAU;BOG;810904000;149;588590
SAU;BOG;810905000;290;1151219
SAU;BOG;810909010;90;356721
SAU;BOG;603199010;2203;8942886
SAU;BOG;603199010;3390;13606905
SAU;BOG;604200000;744;2968478
SAU;BOG;603110000;4754;19573534
SAU;BOG;603129000;456;1877676
SAU;BOG;603191000;96;395300
SAU;BOG;603193000;256;1054134
SAU;BOG;603199010;1259;5182138
SAU;BOG;603199090;334;1375315
SAU;BOG;604200000;4050;16676726
SAU;BOG;8207700000;13078;53323456
SAU;BOG;8413919000;10549;42690940
SAU;BOG;3926904000;7832;31131315
SAU;BOG;7307920000;65027;259449779
SAU;BOG;804501000;80;323756
SAU;BOG;804502000;36260;147985018
SAU;BOG;810901020;398;1638516
SAU;BOG;810901030;754;3080697
SAU;BOG;810903000;129;524571
SAU;BOG;810904000;340;1399105
SAU;BOG;810905000;2007;8206320
SAU;BOG;810909010;263;1074211
SAU;BOG;604200000;25845;104559259
SAU;BOG;804400010;35930;142824984
SAU;BOG;810400000;20640;82686730
SAU;BOG;4016930000;3796;15089442
SAU;BOG;901119000;568;2292761
ARG;BOG;603110000;2548;10099176
ARG;BOG;603110000;9234;37787552
ARG;BOG;603110000;5134;20726933
ARG;BOG;603110000;10022;39837358
ARG;BOG;3302101000;1210;4893857
ARG;BOG;9023009000;5965;24410748
ARG;BOG;7113110000;25290;102601757
ARG;BOG;8412900000;7299;28931286
ARG;BOG;9805000000;3414;14054038
ARG;BOG;2915210000;5918;23890799
ARG;BOG;3402310000;20723;83703340
ARG;BOG;3917329900;2540;10173413
ARG;BOG;4823400000;1328;5363044
ARG;BOG;5804210000;68659;279952219
ARG;BOG;8481909000;4516;18230416
ARG;BOG;8483609000;959;3880814
ARG;BOG;8503000000;5906;23842554
ARG;BOG;3402909900;620;2501039
ARG;BOG;3403990000;200;805419
ARG;BOG;3819000000;228;921448
ARG;BOG;3924109000;102;405459
ARG;BOG;3926909090;63;255150
ARG;BOG;4016930000;2;9851
ARG;BOG;4016991000;2124;8573498
ARG;BOG;4821900000;18;70974
ARG;BOG;6302409000;8;30052
ARG;BOG;7223000000;38;151435
ARG;BOG;7307910000;1532;6183481
ARG;BOG;7318160000;46;184500
ARG;BOG;7616100000;0;1938
ARG;BOG;9026809000;6747;27238033
ARG;BOG;9027899000;20810;84013924
ARG;BOG;2710129900;41;166736
ARG;BOG;4908909000;40;159004
ARG;BOG;7607190000;35;137777
ARG;BOG;7616999000;75;298132
ARG;BOG;8207192900;23;95531
ARG;BOG;603129000;214;864046
ARG;BOG;603110000;1788;7214102
ARG;BOG;603141000;306;1234352
ARG;BOG;603110000;4418;17821461
ARG;BOG;603141000;674;2717793
ARG;BOG;603199010;510;2058867
ARG;BOG;603110000;2366;9557932
ARG;BOG;603141000;1867;7688794
ARG;BOG;8415900000;34;137789
ARG;BOG;8504409090;134;540176
ARG;BOG;8544300000;830;3352402
ARG;BOG;8708100000;2584;10432705
ARG;BOG;8708292000;240;967109
ARG;BOG;8708299000;1450;5854208
ARG;BOG;8708401000;2922;11795256
ARG;BOG;8708701000;1117;4509259
ARG;BOG;8708920000;212;856046
ARG;BOG;9032899000;200;806065
ARG;BOG;8708294000;2479;10144068
ARG;BOG;2940000000;24000;97068240
ARG;BOG;3923509000;3252;13307930
ARG;BOG;3814009000;75;304772
ARG;BOG;3824995000;92;375801
ARG;BOG;2710193800;222;903459
ARG;BOG;8522909000;923;3698433
ARG;BOG;2710191500;1903119;7637141251
AUS;BOG;603141000;302;1237398
AUS;BOG;603149000;862;3428118
AUS;BOG;603199090;3753;15358514
AUS;BOG;6112410000;3316;13201494
AUS;BOG;6204520000;1168;4651015
AUS;BOG;6204690000;1280;5095258
AUS;BOG;6211420000;586;2334265
AUS;BOG;6217100000;1360;5413711
AUS;BOG;603199010;708;2886828
AUS;BOG;1211909000;111764;447621045
AUS;BOG;6112410000;626;2578632
AUS;BOG;6204420000;2016;8299045
AUS;BOG;6204490000;2884;11870599
AUS;BOG;6204690000;1757;7232025
AUS;BOG;6206900000;1267;5216543
AUS;BOG;603199090;2969;12038660
AUS;BOG;603110000;5492;21767926
AUS;BOG;603121000;32724;133920290
AUS;BOG;603129000;5865;23835206
AUS;BOG;3923210000;138;560244
AUS;BOG;4015909000;1405;5784806
AUS;BOG;4202210000;12681;51683810
AUS;BOG;4202919000;62;249061
AUS;BOG;4203300000;1300;5267813
AUS;BOG;4602190000;1209;4840275
AUS;BOG;4821100000;195;788265
AUS;BOG;6102900000;96;389486
AUS;BOG;6104490000;37831;153016357
AUS;BOG;6104590000;494;1994089
AUS;BOG;6104690000;14094;57120489
AUS;BOG;6106900000;76780;310114670
AUS;BOG;4202210000;1828;7378207
AUS;BOG;4202919000;2034;8211887
AUS;BOG;4203100000;73;295119
AUS;BOG;4203300000;3013;12165265
AUS;BOG;6102900000;880;3623173
AUS;BOG;6104490000;9276;38194354
AUS;BOG;6104590000;2357;9704907
AUS;BOG;6104690000;137;565773
AUS;BOG;6106900000;9478;39027820
AUS;BOG;3004902900;13824;56205481
AUS;BOG;603900000;202;816343
AUS;BOG;603110000;9432;38048496
AUS;BOG;603110000;791;3236624
AUS;BOG;603110000;192;775140
AUS;BOG;3926909090;11550;47266412
AUS;BOG;1211909000;12894;53092600
AUS;BOG;3921901000;2436;9826410
AUS;BOG;3920490090;114;459857
AUS;BOG;901212000;3313;13510027
AUS;BOG;8463909000;2800;11331908
AUS;BOG;603110000;6555;26614283
AUS;BOG;603121000;624;2533534
AUS;BOG;603129000;4119;16777721
AUS;BOG;603141000;1912;7761383
AUS;BOG;603191000;176;712556
AUS;BOG;603193000;3372;13690826
AUS;BOG;603194000;357;1449474
AUS;BOG;603199090;151;612068
AUS;BOG;604200000;988;4011428
AUS;BOG;603141000;1289;5109357
AUS;BOG;603149000;2428;9638288
AUS;BOG;603110000;32397;130552929
AUS;BOG;603121000;3700;14705845
AUS;BOG;603900000;459;1863609
AUS;BOG;603900000;3;12708
AUS;BOG;8708292000;3630;14538368
AUS;BOG;603110000;1667;6662189
AUS;BOG;603129000;1740;6916657
AUS;BOG;603149000;376;1517983
AUS;BOG;603110000;810;3293727
AUS;BOG;604200000;7798;32099111
AUS;BOG;3304200000;3341;13281650
AUS;BOG;3304990000;1356;5390818
AUS;BOG;603121000;15;59848
AUS;BOG;603129000;1814;7467494
AUS;BOG;1302199900;11655;47978856
AUS;BOG;603141000;17819;71938285
AUS;BOG;603149000;72546;292881986
AUS;BOG;603110000;6520;25916315
AUS;BOG;603129000;8962;35624757
AUS;BOG;2907299000;168753;682960902
AUS;BOG;901119000;4601;18211125
AUS;BOG;901119000;30460;123195775
AUS;BOG;4203400000;390;1574504
AUS;BOG;6204390000;2304;9301686
AUS;BOG;6204420000;1548;6249570
AUS;BOG;6204490000;1800;7266942
AUS;BOG;6204690000;8152;32911173
AUS;BOG;6206100000;3192;12886710
AUS;BOG;6206900000;2356;9511620
AUS;BOG;6209909000;516;2083190
AUS;BOG;6211499000;1288;5199901
AUT;BOG;603121000;2224;9066596
AUT;BOG;603129000;4376;17842062
AUT;BOG;7103912000;119334;491247299
AUT;BOG;603121000;3202;12922126
AUT;BOG;603129000;10959;44154375
AUT;BOG;603121000;2;6454
AUT;BOG;603129000;4;15329
AZE;BOG;603199010;5070;20631407
AZE;BOG;603193000;77;312253
AZE;BOG;8504409090;18656;76344544
AZE;BOG;9015100000;17252;70600877
AZE;BOG;9015801000;12717;52042161
AZE;BOG;603141000;308;1243455
AZE;BOG;603149000;320;1291901
AZE;BOG;603110000;35;141431
AZE;BOG;603121000;855;3478202
AZE;BOG;603129000;7909;32158041
BHS;BOG;4202111000;8418;33985025
BHS;BOG;4202210000;9067;36603183
BHS;BOG;4202310000;7681;31007719
BHS;BOG;4202911000;15430;62293236
BHS;BOG;4202919000;8240;33264911
BHS;BOG;2710191500;2847;11493355
BHR;BOG;603199010;2268;8989377
BHR;BOG;603199010;3636;14800766
BHR;BOG;603199090;134;550009
BHR;BOG;7103101000;240;987982
BHR;BOG;7103912000;51500;212004385
BHR;BOG;603129000;317;1278659
BHR;BOG;603199090;543;2192033
BHR;BOG;804200000;98;391308
BHR;BOG;810901010;30;117305
BHR;BOG;810901030;231;917252
BHR;BOG;810905000;31;124460
BHR;BOG;603110000;4520;17992628
BHR;BOG;603121000;2154;8561787
BHR;BOG;603199090;834;3339726
BHR;BOG;603110000;2969;12104900
BHR;BOG;603110000;15657;62968945
BHR;BOG;603129000;750;3054731
BHR;BOG;603141000;800;3247195
BHR;BOG;603192000;120;482446
BHR;BOG;603199010;2743;11295908
BHR;BOG;603199090;1746;7120005
BHR;BOG;604200000;4180;17054501
BRB;BOG;3304990000;5785;23672656
BEL;BOG;810901010;530;2124284
BEL;BOG;810901030;462;1851940
BEL;BOG;810903000;200;799570
BEL;BOG;810905000;977;3912783
